Name	Smiles	Odor	Reference
heptanol	CCCCCCCO 	green	Flavornet
nonanoic acid	CCCCCCCCC(=O)O	green	Flavornet
undecanone	CCCCCCCCCC(=O)C	green	Flavornet
methyl geranate	CC(=CCC/C(=C/C(=O)OC)/C)C 	green	Flavornet
isobornyl formate	C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC=O	green	Flavornet
epoxy-2-decenal	CCCCC[C@H]1[C@@H](O1)/C=C/C=O 	green	Flavornet
cis-linalool pyran oxide	C[C@@]1(CC[C@H](C(O1)(C)C)O)C=C 	green	Flavornet
nonanol	CCCCCCCCCO 	green	Flavornet
alpha,γ-dimethylallyl alcohol	C/C=C/C(C)O  	green	Flavornet
(Z)-3-hexenyl butanoate	CCCC(=O)OCC/C=C\CC 	green	Flavornet
isobutyl thiazole	CC(C)CC1=NC=CS1  	green	Flavornet
α-thujene	CC1=CCC2(C1C2)C(C)C  	green	Flavornet
fucoserratene	CC/C=C\C=C\C=C	green	Flavornet
geranyl acetone	CC(=CCC/C(=C/CCC(=O)C)/C)C  	green	Flavornet
valencene	C[C@@H]1CCC=C2[C@]1(C[C@@H](CC2)C(=C)C)C  	green	Flavornet
1-hexenol	CCCC(C=C)O  	green	Flavornet
(E)-2-undecenal	CCCCCCCC/C=C/C=O 	green	Flavornet
artemisia ketone	CC(=CC(=O)C(C)(C)C=C)C  	green	Flavornet
viridiflorol	C[C@@H]1CC[C@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CC[C@]2(C)O  	green	Flavornet
butyl isothiocyanate	CCCCN=C=S  	green	Flavornet
2-pentanol	 CCCC(C)O 	green	Flavornet
elemol	CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(C)(C)O  	green	Flavornet
cis-isocitral	CC(=CC/C=C(/C)\CC=O)C  	green	Flavornet
dimethyloctadienal	CC(=CC/C=C(\C)/CC=O)C  	green	Flavornet
bornyl isovalerate	CC(C)CC(=O)OC1CC2CCC1(C2(C)C)C 	green	Flavornet
isobutyraldehyde	CC(C)C=O  	green	Flavornet
2,4-hexadienal	C/C=C/C=C/C=O  	green	Flavornet
trimethylphenylbutenone	CC1=C(C(=C(C=C1)C)/C=C\C(=O)C)C  	green	Flavornet
nonanone	CCCCCCCC(=O)C  	green	Flavornet
(epoxymethylbutyl)-methylfuran	CC1=C(OC=C1)CC2C(O2)(C)C  	green	Flavornet
(3Z)-Hexenol	CCCC/C=C\O  	green	https://www.tandfonline.com/doi/abs/10.1080/87559129609541083 
